Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
60,0.1573109267536911,0.3867165704607964,86.7,99.9,0.8970561631408215,0.867,0.8689491762830643,5,"[46, 37, 6, 39, 8]"
61,0.1054868532002908,0.34463905885219576,87.64,99.83,0.893769095609588,0.8764,0.874993774471744,5,"[37, 5, 11, 27, 35]"
62,0.11264859672327025,0.38478266594409943,87.26,99.73,0.882943897071068,0.8726,0.8676224602099062,5,"[17, 31, 44, 7, 24]"
63,0.05778037464805689,0.4145789905071259,86.18,99.7,0.8841428671001471,0.8618,0.8517225198418661,5,"[40, 31, 6, 4, 2]"
64,0.1581851820456582,0.36934483295679094,87.5,99.91,0.8858528932351708,0.875,0.872825394672262,5,"[2, 28, 39, 35, 22]"
65,0.09226919737582906,0.4647155558347702,84.8,99.86,0.8798872644925081,0.848,0.8364935091844392,5,"[4, 36, 11, 49, 41]"
66,0.10349792717365731,0.3456815435767174,87.43,99.86,0.8874556930695385,0.8743,0.8717929885364211,5,"[6, 34, 3, 17, 15]"
67,0.07168447996296222,0.43697223581075667,85.44,99.59,0.8816936962103135,0.8544,0.8442839414077984,5,"[37, 27, 10, 40, 31]"
68,0.1679622580496471,0.2849571898460388,90.17,99.85,0.9042777696745578,0.9017,0.9013126199839915,5,"[7, 28, 27, 37, 12]"
69,0.07677860902267383,0.27939909230470655,90.46,99.81,0.9063553963782731,0.9046,0.9034342586861028,5,"[16, 13, 7, 30, 23]"
70,0.08069053674379885,0.32003617689609526,88.83,99.77,0.8945645742812635,0.8883,0.8859777603681974,5,"[9, 14, 2, 12, 46]"
71,0.14553874295831923,0.3727370802164078,86.95,99.86,0.8975888607270778,0.8695,0.8741761445482842,5,"[23, 42, 9, 26, 44]"
72,0.09372850999015844,0.3604008959889412,87.28,99.8,0.8869686562787958,0.8728,0.8684525999837454,5,"[0, 11, 17, 32, 27]"
73,0.13471396535750726,0.30191271753311155,89.12,99.85,0.896580479040121,0.8912,0.8914695068388024,5,"[38, 24, 26, 15, 42]"
74,0.07302794066117237,0.6512345933198929,80.85,99.68,0.8634297617476344,0.8085,0.7933376259239145,5,"[22, 31, 12, 48, 19]"
75,0.10861736379550443,0.36248376809358596,85.99,99.88,0.8956422177402872,0.8599,0.8613301138755741,5,"[49, 46, 26, 9, 14]"
76,0.07767199907564049,0.3739525830030441,86.71,99.89,0.8915849558110147,0.8671,0.8628716215935279,5,"[11, 43, 47, 5, 25]"
77,0.06478819511558684,0.3882976735472679,87.73,99.51,0.8893730924241712,0.8773,0.869085916507278,5,"[33, 10, 18, 49, 6]"
78,0.1560068774478857,0.32437250384688376,88.64,99.87,0.9000886728287667,0.8864,0.8876024485338697,5,"[37, 28, 21, 15, 13]"
79,0.08466369040127952,0.30891706491708754,89.13,99.86,0.8999963728371185,0.8913,0.8906383387603646,5,"[8, 35, 17, 2, 37]"
80,0.07960280304081443,0.32392891434431076,88.75,99.8,0.8920100245519054,0.8875,0.8846933490506099,5,"[14, 38, 46, 16, 9]"
81,0.08074752248694668,0.27429836807847024,90.25,99.88,0.9031840260696834,0.9025,0.9009512185332922,5,"[15, 23, 1, 13, 14]"
82,0.10457065149349942,0.2981330918312073,89.66,99.83,0.8992496699895207,0.8966,0.8954534178280746,5,"[12, 27, 20, 26, 17]"
83,0.0715536555973439,0.328007546132803,88.68,99.77,0.8978832148719508,0.8868,0.8871508045636336,5,"[5, 34, 7, 24, 9]"
84,0.11321289220512307,0.2895470458626747,89.65,99.87,0.9067168554265359,0.8965,0.8980256859986282,5,"[13, 0, 38, 10, 28]"
85,0.04360107262786346,0.47521751337051393,86.54,98.95,0.8882526485994249,0.8654,0.8508118691147712,5,"[2, 31, 32, 40, 43]"
86,0.07576168000306231,0.34457980288267137,88.43,99.8,0.8974792637430113,0.8843,0.8830273367273687,5,"[41, 24, 34, 38, 5]"
87,0.07369200016545617,0.33176276071071625,89.26,99.7,0.8989677157951781,0.8926,0.8878631422851145,5,"[2, 49, 43, 0, 35]"
88,0.07581196783886882,0.3932437359571457,86.68,99.83,0.8847583307135015,0.8668,0.862816853277282,5,"[29, 10, 38, 48, 11]"
89,0.08671038736740207,0.29407188723087313,89.86,99.87,0.9018189799729691,0.8986,0.8984072981105563,5,"[16, 8, 37, 36, 45]"
90,0.07409704462011688,0.3305903615117073,89.22,99.84,0.8983233757855612,0.8922,0.891315950207687,5,"[3, 24, 12, 46, 36]"
91,0.08194285884676093,0.2798464669108391,90.16,99.82,0.903895846497421,0.9016,0.9013910112607917,5,"[26, 31, 28, 14, 38]"
92,0.0770004894309462,0.34489340485334397,88.42,99.77,0.8935309893844131,0.8842,0.8798366845200246,5,"[11, 41, 14, 40, 21]"
93,0.059884613900221186,0.345968037635088,88.44,99.75,0.8912597527147708,0.8844,0.8823230821038355,5,"[7, 10, 26, 49, 32]"
94,0.08350501886028597,0.2796213809609413,90.25,99.83,0.904847161258513,0.9025,0.9024197371812824,5,"[43, 13, 15, 5, 28]"
95,0.08166063190985043,0.3022848380327225,89.82,99.68,0.9034144901481775,0.8982,0.8942675798870894,5,"[44, 18, 14, 2, 5]"
96,0.056100622934905794,0.4660411451637745,85.22,99.81,0.880372278281766,0.8522,0.8524508914474096,5,"[31, 4, 36, 38, 46]"
97,0.06542892988784689,0.2857546309113502,89.95,99.83,0.9035021855505887,0.8995,0.8988740371383521,5,"[4, 2, 26, 20, 47]"
98,0.0967555133736243,0.39645656727552414,86.5,99.71,0.8880943948427755,0.865,0.8648708161319782,5,"[44, 30, 46, 19, 21]"
99,0.11287527127501062,0.3232688859641552,89.39,99.68,0.8982010747950561,0.8939,0.8918310729640987,5,"[35, 2, 39, 38, 30]"
